24378,43,10000022,FIB,How many digits does one thousand have?,,,4,,,1,1,1,,Enabled,,,,,,,1302
24379,43,10000023,FIB,How many digits does ten thousand have?,,,5,,,2,1,1,,Enabled,,,,,,,1302
24380,43,10000024,FIB,How many digits does fifteen thousand have?,,,5,,,3,1,1,,Enabled,,,,,,,1302
24381,43,10000025,FIB,How many digits does one thousand and two hundred have?,,,4,,,4,1,1,,Enabled,,,,,,,1302
24382,43,10000026,FIB,How many digits does five hundred have?,,,3,,,5,1,1,,Enabled,,,,,,,1302
24383,43,10000027,FIB,How many digits does twenty thousand have?,,,5,,,6,1,1,,Enabled,,,,,,,1302
24384,43,10000028,FIB,How many digits does twenty have?,,,2,,,7,1,1,,Enabled,,,,,,,1302
24385,43,10000029,FIB,How many digits does seven have?,,,1,,,8,1,1,,Enabled,,,,,,,1302
24386,43,10000030,FIB,What number does the image represent?,cube_1.png,cube_1.png,60,,,9,1,1,,Enabled,,,,,,,1302
24387,43,10000031,FIB,What number does the image represent?,cube_2.png,cube_2.png,120,,,10,1,1,,Enabled,,,,,,,1302
24388,43,10000032,FIB,What number does the image represent?,cube_3.png,cube_3.png,111,,,11,1,1,,Enabled,,,,,,,1302
24389,43,10000033,FIB,What number does the image represent?,cube_4.png,cube_4.png,71,,,12,1,1,,Enabled,,,,,,,1302
24390,43,10000034,FIB,What number does the image represent?,cube_5.png,cube_5.png,45,,,13,1,1,,Enabled,,,,,,,1302
24391,43,10000035,FIB,What number does the image represent?,cube_6.png,cube_6.png,41,,,14,1,1,,Enabled,,,,,,,1302
24392,43,10000036,FIB,What number does the image represent?,cube_7.png,cube_7.png,52,,,15,1,1,,Enabled,,,,,,,1302
24393,43,10000037,FIB,What number does the image represent?,cube_8.png,cube_8.png,64,,,16,1,1,,Enabled,,,,,,,1302
24394,43,10000038,FIB,What number does the image represent?,cube_9.png,cube_9.png,84,,,17,1,1,,Enabled,,,,,,,1302
24395,43,10000039,FIB,What number does the image represent?,cube_10.png,cube_10.png,64,,,18,1,1,,Enabled,,,,,,,1302
24396,43,10000040,FIB,What number does the image represent?,cube_11.png,cube_11.png,100,,,19,1,1,,Enabled,,,,,,,1302
24397,43,10000041,FIB,What number does the image represent?,cube_12.png,cube_12.png,400,,,20,1,1,,Enabled,,,,,,,1302
24398,43,10000011,FIB,How many tens equal fifty thousand?,,,5000,,,1,2,1,,Enabled,,,,,,,1302
24399,43,10000012,FIB,How many hundreds are in fifteen thousand?,,,150,,,2,2,1,,Enabled,,,,,,,1302
24400,43,10000013,FIB,How many tens equal twelve thousand and five hundred?,,,1250,,,3,2,1,,Enabled,,,,,,,1302
