37148,102,102001,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a1.png,,"{""type"":1,""answer"":[{""value"":""5/2"",""type"":""string""}]}",,,1,1,1,1,Enabled,,,
37149,102,102002,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a2.png,,"{""type"":1,""answer"":[{""value"":2,""type"":""int""}]}",,,2,1,1,1,Enabled,,,
37150,102,102003,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a3.png,,"{""type"":1,""answer"":[{""value"":""4/3"",""type"":""string""}]}",,,3,1,1,1,Enabled,,,
37151,102,102004,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a4.png,,"{""type"":1,""answer"":[{""value"":2,""type"":""int""}]}",,,4,1,1,1,Enabled,,,
37152,102,102005,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a5.png,,"{""type"":1,""answer"":[{""value"":""5/3"",""type"":""string""}]}",,,5,1,1,1,Enabled,,,
37153,102,102006,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a6.png,,"{""type"":1,""answer"":[{""value"":1,""type"":""int""}]}",,,6,1,1,1,Enabled,,,
37154,102,102007,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a7.png,,"{""type"":1,""answer"":[{""value"":2,""type"":""int""}]}",,,7,1,1,1,Enabled,,,
37155,102,102008,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a8.png,,"{""type"":1,""answer"":[{""value"":4,""type"":""int""}]}",,,8,1,1,1,Enabled,,,
37156,102,102009,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a9.png,,"{""type"":1,""answer"":[{""value"":""1/2"",""type"":""string""}]}",,,9,1,1,1,Enabled,,,
37157,102,102010,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a10.png,,"{""type"":1,""answer"":[{""value"":""3/2"",""type"":""string""}]}",,,10,1,1,1,Enabled,,,
37158,102,102011,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a11.png,,"{""type"":1,""answer"":[{""value"":""17/12"",""type"":""string""}]}",,,11,1,1,1,Enabled,,,
37159,102,102012,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a12.png,,"{""type"":1,""answer"":[{""value"":4,""type"":""int""}]}",,,12,1,1,1,Enabled,,,
37160,102,102013,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a13.png,,"{""type"":1,""answer"":[{""value"":""21/4"",""type"":""string""}]}",,,13,1,1,1,Enabled,,,
37161,102,102014,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a14.png,,"{""type"":1,""answer"":[{""value"":15,""type"":""int""}]}",,,14,1,1,1,Enabled,,,
37162,102,102015,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a15.png,,"{""type"":1,""answer"":[{""value"":10,""type"":""int""}]}",,,15,1,1,1,Enabled,,,
37163,102,102016,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a16.png,,"{""type"":1,""answer"":[{""value"":6,""type"":""int""}]}",,,16,1,1,1,Enabled,,,
37164,102,102017,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a17.png,,"{""type"":1,""answer"":[{""value"":8,""type"":""int""}]}",,,17,1,1,1,Enabled,,,
37165,102,102018,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a18.png,,"{""type"":1,""answer"":[{""value"":""77/4"",""type"":""string""}]}",,,18,1,1,1,Enabled,,,
37166,102,102019,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a19.png,,"{""type"":1,""answer"":[{""value"":""1/2"",""type"":""string""}]}",,,19,1,1,1,Enabled,,,
37167,102,102020,FIB,How would you solve the division?<br/> (Reduce answer in the simplest form),module_102a20.png,,"{""type"":1,""answer"":[{""value"":3,""type"":""int""}]}",,,20,1,1,1,Enabled,,,
37168,102,102021,FIB,Divide the fraction and whole number,module_102b1.png,,"{""type"":1,""answer"":[{""value"":""5/14"",""type"":""string""}]}",,,1,2,1,1,Enabled,,,
37169,102,102022,FIB,Divide the fraction and whole number,module_102b2.png,,"{""type"":1,""answer"":[{""value"":""2/5"",""type"":""string""}]}",,,2,2,1,1,Enabled,,,
37170,102,102023,FIB,Divide the fraction and whole number,module_102b3.png,,"{""type"":1,""answer"":[{""value"":""2/9"",""type"":""string""}]}",,,3,2,1,1,Enabled,,,
37171,102,102024,FIB,Divide the fraction and whole number,module_102b4.png,,"{""type"":1,""answer"":[{""value"":2,""type"":""int""}]}",,,4,2,1,1,Enabled,,,
37172,102,102025,FIB,Divide the fraction and whole number,module_102b5.png,,"{""type"":1,""answer"":[{""value"":""12/17"",""type"":""string""}]}",,,5,2,1,1,Enabled,,,
37173,102,102026,FIB,Divide the fraction and whole number,module_102b6.png,,"{""type"":1,""answer"":[{""value"":""4/9"",""type"":""string""}]}",,,6,2,1,1,Enabled,,,
37174,102,102027,FIB,Divide the fraction and whole number,module_102b7.png,,"{""type"":1,""answer"":[{""value"":""4/17"",""type"":""string""}]}",,,7,2,1,1,Enabled,,,
37175,102,102028,FIB,Divide the fraction and whole number,module_102b8.png,,"{""type"":1,""answer"":[{""value"":""7/4"",""type"":""string""}]}",,,8,2,1,1,Enabled,,,
37176,102,102029,FIB,Divide the fraction and whole number,module_102b9.png,,"{""type"":1,""answer"":[{""value"":""11/61"",""type"":""string""}]}",,,9,2,1,1,Enabled,,,
37177,102,102030,FIB,Divide the fraction and whole number,module_102b10.png,,"{""type"":1,""answer"":[{""value"":""49/10"",""type"":""string""}]}",,,10,2,1,1,Enabled,,,
37178,102,102031,FIB,Divide the fraction and whole number,module_102b11.png,,"{""type"":1,""answer"":[{""value"":""55/12"",""type"":""string""}]}",,,11,2,1,1,Enabled,,,
37179,102,102032,FIB,Divide the fraction and whole number,module_102b12.png,,"{""type"":1,""answer"":[{""value"":10,""type"":""int""}]}",,,12,2,1,1,Enabled,,,
37180,102,102033,FIB,Divide the fraction and whole number,module_102b13.png,,"{""type"":1,""answer"":[{""value"":""111/4"",""type"":""string""}]}",,,13,2,1,1,Enabled,,,
37181,102,102034,FIB,Divide the fraction and whole number,module_102b14.png,,"{""type"":1,""answer"":[{""value"":""15/67"",""type"":""string""}]}",,,14,2,1,1,Enabled,,,
37182,102,102035,FIB,Divide the fraction and whole number,module_102b15.png,,"{""type"":1,""answer"":[{""value"":""10/31"",""type"":""string""}]}",,,15,2,1,1,Enabled,,,
