,140,13051,,,1,"Peter, cat, ship, school, math are examples of nouns.<br/> A noun is used to name something like a person, place,thing, animal.",,MC,,,
,140,13052,,,1,"A noun is used to name something like a person, place,thing, animal.  An easy way to know if it is a noun is if you can see, feel, smell, taste, or touch it.<br/> It is not a noun if it is a word used to to describe something.",,MC,,,
,140,13053,,,1,"Nouns can be persons you know, things you see, ideas you can use, places you can go, Animals you can see.",,MC,,,
,140,13054,,,1,"Remember if the word is something that you do like jumping and running, it is not a noun.<br/> Those are actions and therefore are verbs.  Nouns should be words that help name people, places, animals and things.",,O,,,
,140,13055,,,1,"Words that describe something or words that are action words are not nouns.<br/> Nouns must help name things such as people, animals, places, ideas, objects.",,O,,,
,140,13056,,,1,"If the word describes something then it is not a noun, but if the word helps name something then it is a noun.<br/> Examples of words that are not nouns are running, jumping, eating.",,MC,,,
,140,13057,,,1,"Jack, beth, boy,girl, dog, spaceship, mall are examples of nouns, because they help name people, places, animals, and things<br/> It is not a noun when it describes someone or something. ",,MC,,,
,140,13058,,,1,"A sentence can have more than one noun in it.<br/> Remember nouns are used to name things for people, animals, places, and objects.",,O,,,
,140,13059,,,1,"There are different kinds of nouns, they can be for persons, places, things, animals and more.<br/> Jack is a noun for a person, school is a noun for a place, and candy is a noun for a thing. ",,O,,,
,140,13060,,,1,I and dog are considered nouns.<br/> I is called a pronoun which is another kind of noun for a person. Dog is a noun for an animal.,,O,,,
,140,13061,,,1,"Mom,me, and toy are nouns. Mom and me are  nouns for a person, while toy is a noun for a thing.",,O,,,
,140,13062,,,1,"Remember what a noun is they name  people, places, animals, things or objects, and idea.",,FIB,,,
,140,13063,,,1,,,FIB,,,
,140,13064,,,1,"Yes, the noun is you since it is a noun for a person.",,MC,,,
,140,13065,,,1,"Yes, the nouns are frog and lake since the frog is a noun for an animal and the lake is a noun for a place.",,MC,,,
,140,13066,,,1,Store and house are nouns for places because you can go to those places. .,,O,,,
,140,13067,,,1,"Kite and book are nouns for things because these are non living things that you can see, touch or use.",,O,,,
,140,13068,,,1,Mom and child are nouns for persons because these are names that you use to learn who a person is.,,O,,,
,140,13069,,,1,"The noun is a place, it is a place because the you can go inside the house.",,FIB,,,
,140,13070,,,1,A building is a place because you can enter or go inside the building. ,,FIB,,,
,141,13071,,,1,"The answer is true because nouns that talk about more than one person,place ,or thing are called plural nouns.",,MC,,,
