1,1,1,100001,,5,,N,0,,,,,,,,,,,,,,,,,#N/A
2,1,1,100002,,6,,Y,1,,,,,,,,,,,,,,,,,
3,1,1,100003,,8,,N,0,,,,,,,,,,,,,,,,,
4,1,1,100004,,9,,N,0,,,,,,,,,,,,,,,,,
5,1,2,100005,,4,,N,0,,,,,,,,,,,,,,,,,
6,1,2,100006,,2,,N,0,,,,,,,,,,,,,,,,,
7,1,2,100007,,3,,Y,1,,,,,,,,,,,,,,,,,
8,1,2,100008,,6,,N,0,,,,,,,,,,,,,,,,,
9,1,3,100009,,9,,N,0,,,,,,,,,,,,,,,,,
10,1,3,100010,,10,,N,0,,,,,,,,,,,,,,,,,
11,1,3,100011,,8,,Y,1,,,,,,,,,,,,,,,,,
12,1,3,100012,,12,,N,0,,,,,,,,,,,,,,,,,
13,1,4,100013,,,baseball-7.JPG,N,0,,,,,,,,,,,,,,,,,
14,1,4,100014,,,8-baseball-bats.JPG,Y,1,,,,,,,,,,,,,,,,,
15,1,4,100015,,,baseball-4.JPG,N,0,,,,,,,,,,,,,,,,,
16,1,5,100016,,13,,Y,1,,,,,,,,,,,,,,,,,
17,1,5,100017,,15,,N,0,,,,,,,,,,,,,,,,,
18,1,5,100018,,20,,N,0,,,,,,,,,,,,,,,,,
19,1,5,100019,,12,,N,0,,,,,,,,,,,,,,,,,
20,1,6,100020,,1,,N,0,,,,,,,,,,,,,,,,,
21,1,6,100021,,2,,Y,1,,,,,,,,,,,,,,,,,
22,1,6,100022,,3,,N,0,,,,,,,,,,,,,,,,,
23,1,6,100023,,4,,N,0,,,,,,,,,,,,,,,,,
24,1,11,100028,,6,,N,0,,,,,,,,,,,,,,,,,
25,1,11,100029,,3,,N,0,,,,,,,,,,,,,,,,,
26,1,11,100030,,4,,N,0,,,,,,,,,,,,,,,,,
27,1,11,100031,,5,,Y,1,,,,,,,,,,,,,,,,,
28,1,12,100032,,,tennis-rackets-5.png,N,0,,,,,,,,,,,,,,,,,
29,1,12,100033,,,tennis-rackets-7.png,N,0,,,,,,,,,,,,,,,,,
30,1,12,100034,,,tennis-rackets-8.png,Y,1,,,,,,,,,,,,,,,,,
31,1,12,100035,,,tennis-rackets-4.png,N,0,,,,,,,,,,,,,,,,,
32,1,14,100037,,10,,N,0,,,,,,,,,,,,,,,,,
33,1,14,100038,,12,,N,0,,,,,,,,,,,,,,,,,
34,1,14,100039,,8,,N,0,,,,,,,,,,,,,,,,,
35,1,14,100040,,9,,Y,1,,,,,,,,,,,,,,,,,
36,1,15,100041,,20,,N,0,,,,,,,,,,,,,,,,,
37,1,15,100042,,18,,Y,1,,,,,,,,,,,,,,,,,
38,1,15,100043,,15,,N,0,,,,,,,,,,,,,,,,,
39,1,15,100044,,19,,N,0,,,,,,,,,,,,,,,,,
40,1,17,100046,,,squares-6.png,N,0,,,,,,,,,,,,,,,,,
41,1,17,100047,,,squares-5.png,N,0,,,,,,,,,,,,,,,,,
42,1,17,100048,,,squares-4.png,N,0,,,,,,,,,,,,,,,,,
43,1,17,100049,,,squares-7.png,Y,1,,,,,,,,,,,,,,,,,
44,2,147,100054,,2+7,,N,0,,,,,,,,,,,,,,,,,
