36416,647,647001,FIB,What is the name of my dog?,,,"{""type"":1,""answer"":[{""value"":""Buddy"",""type"":""string""}]}",,,1,1,1,1,Enabled,,,,,
36417,647,647002,FIB,What color is Buddy’s collar?,,,"{""type"":1,""answer"":[{""value"":""green"",""type"":""string""}]}",,,2,1,1,1,Enabled,,,,,
36418,647,647003,FIB,What is attached to his collar? R___ h___,,,"{""type"":1,""answer"":[{""value"":""red heart"",""type"":""string""}]}",,,3,1,1,1,Enabled,,,,,
36419,647,647004,FIB,How many dogs arrived at the park all together after Buddy and I arrived? (Example: One),,,"{""type"":1,""answer"":[{""value"":""three"",""type"":""string""}]}",,,4,1,1,1,Enabled,,,,,
36420,647,647005,FIB,"What color were the dogs? br______, bl_________ and _______ with black spots",,,"{""type"":1,""answer"":[{""value"":""brown"",""type"":""string""},{""value"":""black"",""type"":""string""},{""value"":""white"",""type"":""string""}]}",,,5,1,1,1,Enabled,,,,,
36421,647,647006,FIB,What color was the dog wearing the red collar?,,,"{""type"":1,""answer"":[{""value"":""black"",""type"":""string""}]}",,,6,1,1,1,Enabled,,,,,
36422,647,647007,FIB,What did the dogs want to do when the arrived? R___ and c___,,,"{""type"":1,""answer"":[{""value"":""run and chase"",""type"":""string""}]}",,,7,1,1,1,Enabled,,,,,
36423,647,647008,FIB,Did Buddy <u>join in</u> or did he <u>sit on the sidelines</u>?,,,"{""type"":1,""answer"":[{""value"":""join in"",""type"":""string""}]}",,,8,1,1,1,Enabled,,,,,
36424,647,647009,FIB,Where did the dogs go once they were done playing in the field? (by the bushes or under the tree?),,,"{""type"":1,""answer"":[{""value"":""under the tree"",""type"":""string""}]}",,,9,1,1,1,Enabled,,,,,
36425,647,647010,FIB,What did we give the dogs under the tree? w_________ and _______ts,,,"{""type"":1,""answer"":[{""value"":""water"",""type"":""string""},{""value"":""treats"",""type"":""string""}]}",,,10,1,1,1,Enabled,,,,,
36426,647,647011,FIB,What did the dogs do after they drank water and ate their treats? _______,,,"{""type"":1,""answer"":[{""value"":""fell asleep"",""type"":""string""}]}",,,11,1,1,1,Enabled,,,,,
36427,647,647012,FIB,What time did we leave the park?,,,"{""type"":1,""answer"":[{""value"":""four o' clock"",""type"":""string""}]}",,,12,1,1,1,Enabled,,,,,
