37136,441,41441001,COD,Circles Exercise 1,,,1,,,0,0,0,1,Enabled,,,
37137,441,41441002,COD,Circles Exercise 2,,,1,,,0,0,0,1,Enabled,,,
37138,441,41441003,COD,Circles Exercise 3,,,1,,,0,0,0,1,Enabled,,,
37139,441,41441004,COD,Circles Exercise 4,,,1,,,0,0,0,1,Enabled,,,
37140,441,41441005,COD,Circles Exercise 5,,,1,,,0,0,0,1,Enabled,,,
37141,441,41441006,COD,Circles Exercise 6,,,1,,,0,0,0,1,Enabled,,,
37142,442,41442001,COD,Squares Exercise 1,,,1,,,0,0,0,1,Enabled,,,
37143,442,41442002,COD,Squares Exercise 2,,,1,,,0,0,0,1,Enabled,,,
37144,442,41442003,COD,Squares Exercise 3,,,1,,,0,0,0,1,Enabled,,,
37145,442,41442004,COD,Squares Exercise 4,,,1,,,0,0,0,1,Enabled,,,
37146,442,41442005,COD,Squares Exercise 5,,,1,,,0,0,0,1,Enabled,,,
37147,442,41442006,COD,Squares Exercise 6,,,1,,,0,0,0,1,Enabled,,,
